Date,Area Name,Road/Intersection Name,Traffic Volume,Average Speed,Travel Time Index,Congestion Level,Road Capacity Utilization,Incident Reports,Environmental Impact,Public Transport Usage,Traffic Signal Compliance,Parking Usage,Pedestrian and Cyclist Count,Weather Conditions,Roadwork and Construction Activity
2022-01-01,Indiranagar,100 Feet Road,50590,50.23029856408030,1.5,100.0,100.0,0,151.18,70.63233020424550,84.04460046972840,85.40362888980230,111,Clear,No
2022-01-01,Indiranagar,CMH Road,30825,29.377124707590300,1.5,100.0,100.0,1,111.65,41.92489889519250,91.40703845572050,59.98368910791800,100,Clear,No
2022-01-01,Whitefield,Marathahalli Bridge,7399,54.47439821046640,1.0390688456025500,28.34799386357650,36.39652493739600,0,64.798,44.66238370778890,61.375540844608700,95.4660201039391,189,Clear,No
2022-01-01,Koramangala,Sony World Junction,60874,43.817610389486100,1.5,100.0,100.0,1,171.748,32.7731231534285,75.54709158757930,63.567451588694800,111,Clear,No
2022-01-01,Koramangala,Sarjapur Road,57292,41.11676288840870,1.5,100.0,100.0,3,164.584,35.09260099809910,64.63476238100520,93.15517129377970,104,Clear,No
2022-01-01,M.G. Road,Trinity Circle,47848,34.241962549718100,1.5,100.0,100.0,3,145.696,39.927871285098500,61.01676506976380,55.39457134966520,94,Overcast,No
2022-01-01,M.G. Road,Anil Kumble Circle,36574,29.982429564154600,1.5,100.0,100.0,3,123.148,72.47912989429840,81.57368967662600,90.37200775820310,115,Clear,No
2022-01-01,Pattanagere,Pattanagere 4th Block,25379,38.45517943888770,1.5,79.03882287608130,100.0,2,100.75800000000000,46.315343522035600,88.12075835580710,68.1814801189647,92,Clear,No
2022-01-01,Pattanagere,South End Circle,25022,35.039373044314000,1.5,78.97959595139890,100.0,1,100.044,44.26169321942940,99.42601816442400,62.10276357557500,105,Clear,No
2022-01-01,Hebbal,Hebbal Flyover,31760,56.90455625809980,1.5,97.67246206775480,100.0,1,113.52000000000000,12.854259908833500,83.63571772752970,83.87821809211410,91,Clear,No
2022-01-01,Hebbal,Ballari Road,38446,26.144876261711500,1.5,100.0,100.0,3,126.892,48.864056811962400,81.18602313424030,62.092614545022600,84,Overcast,No
2022-01-01,Yeshwanthpur,Yeshwanthpur Circle,15043,47.96984673233190,1.3548345697060500,55.74084425048580,76.63531646154290,0,80.086,21.314009986623000,95.94216754108320,80.3214529829795,105,Clear,No
2022-01-02,Indiranagar,100 Feet Road,22050,52.87084603742450,1.130159879263710,78.42982810236050,100.0,3,94.1,35.74010621416040,70.60809470726900,62.19948216895420,115,Fog,No
2022-01-02,Indiranagar,CMH Road,37877,26.428424435837200,1.5,100.0,100.0,1,125.754,75.832100904704,98.1571430801035,95.74321951102240,96,Overcast,No
2022-01-02,Koramangala,Sarjapur Road,29106,43.56398794323470,1.5,90.40985493372190,100.0,3,108.212,53.05050586894190,99.60215400417050,57.0042007618262,100,Fog,No
2022-01-02,M.G. Road,Trinity Circle,53217,37.57207490980110,1.5,100.0,100.0,5,156.434,33.65966097960750,75.02331810559780,54.69909699204350,102,Clear,No
2022-01-02,M.G. Road,Anil Kumble Circle,37584,45.889505969673700,1.5,100.0,100.0,2,125.168,15.974322549563800,62.067268846744300,76.5677315784074,101,Fog,No
2022-01-02,Pattanagere,Pattanagere 4th Block,16676,53.52433334796220,1.1755885682822500,47.155794293512000,78.63350743415460,2,83.352,38.62670610899890,66.93177280283380,57.8218521335543,92,Fog,No
2022-01-02,Pattanagere,South End Circle,37509,51.5135098647949,1.5,100.0,100.0,1,125.018,63.04922773250580,60.57573954519020,55.80363202534580,76,Overcast,No
2022-01-02,Hebbal,Hebbal Flyover,6758,34.756123586657100,1.069280747964010,21.203699651426100,32.77504734397370,1,63.516,13.171280684043100,74.98450458505880,81.29299578571180,200,Rain,No
2022-01-02,Hebbal,Ballari Road,30209,31.1468640313824,1.5,100.0,100.0,2,110.418,48.193175252115400,97.658592351061,69.30513189003870,90,Clear,Yes
2022-01-02,Yeshwanthpur,Yeshwanthpur Circle,20375,40.06999065341170,1.3379501243877800,58.38210538138320,100.0,0,90.75,18.271537933515900,87.86948661456600,81.4471423389942,113,Overcast,No
2022-01-02,Yeshwanthpur,Tumkur Road,15636,32.794298957181500,1.3105651842968000,48.93607080506040,82.48757325603570,1,81.27200000000000,62.56097474540480,90.1817149633873,55.15619344179660,115,Overcast,No
2022-01-03,Indiranagar,100 Feet Road,23457,38.86905317091620,1.380024786820320,87.20214293875110,100.0,2,96.914,33.006518175894100,86.90073824308150,87.618726471884,109,Clear,No
2022-01-03,Indiranagar,CMH Road,38925,33.52942618497860,1.5,100.0,100.0,1,127.85,53.27526443213830,64.04490704491160,54.20534030574990,106,Overcast,No
2022-01-03,Whitefield,Marathahalli Bridge,9154,40.226182694246800,1.3788994309535400,40.23335460979080,48.30378185258940,0,68.30800000000000,15.845050168906800,91.08587663709750,77.92021248679030,197,Clear,No
2022-01-03,Whitefield,ITPL Main Road,24968,36.727690564476800,1.2984179517061700,84.89404196860990,100.0,1,99.936,70.80193897326220,68.9438335407781,98.16112697203060,82,Windy,No
2022-01-03,Koramangala,Sony World Junction,51459,27.326524371119500,1.5,100.0,100.0,0,152.918,29.667423271456100,98.01645936306240,94.51318919454580,99,Clear,No
2022-01-03,Koramangala,Sarjapur Road,28481,36.50393786476210,1.5,100.0,100.0,2,106.962,66.96565137948640,87.38924690215520,58.130846967244600,116,Overcast,No
2022-01-03,Pattanagere,Pattanagere 4th Block,10179,40.30824347895300,1.3949104517259800,26.938337822070600,51.83630715352140,0,70.358,77.89400784702220,93.68475692542840,91.91643523555690,199,Clear,Yes
2022-01-04,Indiranagar,100 Feet Road,46199,41.228499323475000,1.5,100.0,100.0,2,142.398,57.01904790841000,84.72512961831580,67.90813590164200,86,Clear,No
2022-01-04,Indiranagar,CMH Road,56242,52.55340842443200,1.5,100.0,100.0,0,162.48400000000000,12.014787341933700,90.20549022694480,81.01547756767320,106,Clear,Yes
2022-01-04,Whitefield,Marathahalli Bridge,20450,24.607678222399000,1.3616634777975000,65.13177600713270,100.0,1,90.9,53.54606901595120,94.4945483498698,97.47603118288210,100,Clear,No
2022-01-04,Whitefield,ITPL Main Road,13391,51.69672548830040,1.0303453312434700,37.214261104879700,63.23545838957770,0,76.782,19.71790208545870,85.63498979212860,59.09400421995720,194,Clear,No
